202059074,QP,0.67,5.401521,0.08,
202059080,AP,1.00,0.000000,0.00,
202059081,AP,0.42,0.000000,0.00,
202059086,QP,0.37,4.408197,0.11,
202059188,QP,2.59,0.690420,1.52,
202059190,AP,0.21,0.000000,0.00,
202059192,AP,0.26,0.000000,0.00,
202059193,AP,0.22,0.000000,0.00,
202059197,AP,0.20,0.000000,0.00,
202059198,AP,1.02,0.000000,0.00,
202059199,AP,0.59,0.000000,0.00,
202059204,QP,3.14,7.945648,1.37,
202059207,AP,0.10,0.000000,0.00,
202059208,QP,0.24,5.054826,0.02,
202059210,AP,1.67,0.000000,0.00,
202059215,AP,0.83,0.000000,0.00,
202059224,AP,0.42,0.000000,0.00,
202059229,QP,2.66,5.067694,1.21,
202059231,AP,3.47,0.000000,0.00,
202059299,QP,0.29,6.774722,0.10,50 (AF star)
202059350,QP,0.30,1.787771,0.07,
202059352,AP,0.13,0.000000,0.00,
202059364,QP,0.96,6.188442,0.12,
202059367,AP,0.60,0.000000,0.00,
202059391,AP,2.87,0.000000,0.00,
202059392,QP,0.14,2.584726,0.04,
202059393,AP,0.78,0.000000,0.00,
202059409,QP,1.38,1.486367,0.50,
202059414,QP,2.32,1.284625,0.59,
202059415,AP,3.44,0.000000,0.00,
202059434,QP,0.92,1.289773,0.23,
202059522,QP,2.76,8.537702,0.85,9 (AGN);35 (Blazar);61 (AGN);74 (Blazar);103 (Supernova/AGN/QSO/BL Lac)
202059552,AP,0.46,0.000000,0.00,9 (AGN)
202059586,AP,0.90,0.000000,0.00,
202059600,QP,7.47,2.551510,2.51,
202059635,QP,6.04,2.553962,1.73,
202059645,QP,4.31,5.523602,1.71,
202059697, P,4.42,3.423396,1.89,
202060097, P,2.23,2.624037,0.85,
202060098,QP,1.63,4.989129,0.42,
202060130,AP,0.86,0.000000,0.00,49 (SpB star)
202060132,QP,7.96,0.734701,3.59,44 (Beta Ceph);49 (SpB star)
202060135,QP,6.74,1.436605,2.73,49 (SpB star);109 (Algol Binary/BE star)
202060145,QP,0.51,1.147234,0.13,48 (ROAP/AP star);49 (SpB star)
202060171,QP,1.70,1.646030,0.37,44 (Beta Ceph);49 (SpB star)
202060187,AP,1.39,0.000000,0.00,44 (Beta Ceph)
202060189,QP,2.70,3.763730,0.64,44 (Beta Ceph)
202060191,QP,0.24,2.494569,0.07,49 (SpB star)
202060194,QP,0.68,11.096523,0.23,44 (Beta Ceph);45 (Be star)
202060196,QP,0.43,1.268619,0.07,44 (Beta Ceph)
202060207,AP,0.63,0.000000,0.00,44 (Beta Ceph)
202060378,AP,1.69,0.000000,0.00,49 (SpB star)
202060403,QP,8.94,2.465890,1.18,49 (SpB star)
202060423,QP,5.21,3.154888,1.93,49 (SpB star)
202060425,QP,0.62,8.358414,0.13,49 (SpB star)
202060439,QP,2.02,0.333470,0.37,49 (SpB star)
202060447,QP,24.25,2.036703,9.43,49 (SpB star);114 (AAVSO Variable Star)
202060471,QP,6.42,0.538125,0.88,49 (SpB star)
202060490,QP,0.38,1.651341,0.13,49 (SpB star)
202060509,AP,0.87,0.000000,0.00,
202060510,QP,4.00,3.830941,0.83,44 (Beta Ceph)
202060512,AP,1.13,0.000000,0.00,49 (SpB star)
202060514,QP,1.34,2.442479,0.61,49 (SpB star)
202060527,QP,0.91,1.968191,0.36,49 (SpB star)
202060539,QP,1.84,0.956313,0.82,49 (SpB star)
202060541,QP,2.60,4.047786,1.03,49 (SpB star)
202060545,QP,1.14,2.315100,0.22,49 (SpB star)
202060552,AP,4.20,0.000000,0.00,49 (SpB star)
202060554,QP,0.28,0.752747,0.06,49 (SpB star)
202060573,QP,2.37,0.902783,0.60,49 (SpB star)
202060594,QP,0.20,2.483358,0.05,49 (SpB star)
202060604,QP,3.08,5.363316,1.09,49 (SpB star)
202060605,AP,0.10,0.000000,0.00,49 (SpB star)
202060623,QP,0.20,2.381920,0.05,49 (SpB star)
202060631,AP,3.63,0.000000,0.00,49 (SpB star)
202060633,AP,1.15,0.000000,0.00,49 (SpB star)
202060636,QP,0.37,5.450760,0.08,49 (SpB star)
202060643,QP,1.02,4.802976,0.47,49 (SpB star)
202060646,AP,0.56,0.000000,0.00,49 (SpB star)
202060670,QP,2.54,4.438609,0.37,44 (Beta Ceph);49 (SpB star)
202060672,QP,3.63,2.103262,1.08,49 (SpB star)
202060680,QP,1.82,2.692880,0.89,49 (SpB star)
202060684,QP,4.78,3.300503,2.04,49 (SpB star)
202060704,AP,0.50,0.000000,0.00,
202060707,QP,0.49,0.770776,0.18,49 (SpB star)
202060767, P,2.22,2.102315,0.33,
202060768,QP,0.37,1.047541,0.05,
202060791,QP,0.29,1.246091,0.03,49 (SpB star)
202060792,QP,1.40,0.748370,0.23,49 (SpB star)
202060795, P,0.38,0.282541,0.10,49 (SpB star)
202060806,QP,0.92,0.462024,0.23,49 (SpB star)
202060818,QP,0.63,0.374263,0.15,
202060824,QP,0.41,2.484937,0.08,49 (SpB star)
202060833,AP,0.72,0.000000,0.00,49 (SpB star)
202060840,QP,0.14,10.726638,0.03,49 (SpB star)
202060849,QP,1.01,1.028110,0.20,45 (Be star);49 (SpB star)
202060863,AP,0.11,0.000000,0.00,
202060877,QP,3.63,3.636150,1.22,49 (SpB star)
202060907,QP,2.64,1.459407,0.84,49 (SpB star)
202060919,QP,1.57,2.908511,0.55,49 (SpB star)
202060932,QP,3.52,1.621053,0.77,49 (SpB star)
202060937,QP,0.48,2.181690,0.10,49 (SpB star)
202061001,AP,0.78,0.000000,0.00,49 (SpB star)
202061003,QP,0.67,9.464680,0.08,49 (SpB star)
202061020,AP,0.05,0.000000,0.00,49 (SpB star)
202061026,QP,2.43,2.993480,0.56,49 (SpB star)
202061029,QP,0.31,6.372263,0.09,49 (SpB star)
202061034,AP,0.23,0.000000,0.00,49 (SpB star)
202061042,QP,0.12,10.380617,0.04,49 (SpB star)
202061043,QP,0.21,6.309790,0.07,49 (SpB star)
202061056,QP,3.70,2.573244,1.65,49 (SpB star)
202061065,AP,0.82,0.000000,0.00,49 (SpB star)
