202653279,QP,1.43,0.226245,0.18,
202653421, P,3.43,4.563499,0.73,
202653610,QP,2.55,18.921816,0.47,
202654637,QP,6.31,5.021329,2.42,
202654850,AP,1.41,0.000000,0.00,
202655569,AP,1.01,0.000000,0.00,
202655586,QP,1.28,4.159757,0.23,
202656205,AP,1.73,0.000000,0.00,
202656291,AP,0.54,0.000000,0.00,
202656366,QP,1.60,19.640375,0.45,
202656803,AP,1.11,0.000000,0.00,
202657604,QP,1.81,10.010256,0.33,
202657711,QP,0.45,0.515650,0.07,
202658270,AP,0.58,0.000000,0.00,2081 (AF Star)
202658354,AP,1.49,0.000000,0.00,
202658558,AP,0.23,0.000000,0.00,2049 (Eclipsing Binary)
202658842,AP,0.54,0.000000,0.00,
202659170,AP,2.82,0.000000,0.00,
202659374,AP,2.18,0.000000,0.00,
202659558,QP,1.46,3.938044,0.19,
202659600,AP,5.98,0.000000,0.00,
202659796,QP,0.78,5.725420,0.10,2081 (AF Star)
202660422, P,2.64,11.004188,1.19,2081 (AF Star)
202660583,AP,0.93,0.000000,0.00,
202661284,QP,3.82,15.211662,1.20,
202661711,QP,11.14,1.739450,3.93,
202662062,AP,2.62,0.000000,0.00,
202663014, P,4.22,2.868003,1.14,
202664116,AP,1.20,0.000000,0.00,
202664146,AP,0.48,0.000000,0.00,
202665165,AP,2.53,0.000000,0.00,
202665210,QP,1.84,3.765994,0.24,
202665304,QP,1.77,15.672616,0.60,
202665924,AP,0.87,0.000000,0.00,
202666756,AP,1.73,0.000000,0.00,
202667123,AP,0.66,0.000000,0.00,2081 (AF Star)
202667585,AP,1.38,0.000000,0.00,
202667676,AP,2.65,0.000000,0.00,
202668513,QP,1.24,1.661231,0.10,
202668813,AP,1.04,0.000000,0.00,
202668981,AP,11.13,0.000000,0.00,
202669241,QP,1.05,1.491913,0.11,
202669251,AP,0.55,0.000000,0.00,
202670054,QP,1.84,5.313663,0.20,
202670737,AP,2.44,0.000000,0.00,
202671491,AP,2.68,0.000000,0.00,
202672078,AP,2.20,0.000000,0.00,
202672494,AP,0.68,0.000000,0.00,
202674012,EB,22.41,23.313000,23.82,2081 (AF Star)
202674178,AP,2.49,0.000000,0.00,
202674981,AP,4.29,0.000000,0.00,
202675014,AP,0.65,0.000000,0.00,
202675460,AP,2.05,0.000000,0.00,
202675661,AP,1.72,0.000000,0.00,
202675924,AP,1.50,0.000000,0.00,
202676381,QP,3.45,1.380418,1.05,
